timestamp,user_id,post_id,interaction_type,content
2023-03-01T07:10:20,user20,post11,like,
2023-03-01T07:25:35,user21,post11,share,
2023-03-01T08:15:40,user22,post11,comment,"This information changed my perspective!"
2023-03-01T09:30:50,user23,post12,like,
2023-03-01T10:05:15,user24,post12,comment,"I've seen multiple sources confirming this"
2023-03-01T11:45:30,user25,post13,share,
2023-03-02T08:20:45,user26,post13,like,
2023-03-02T09:35:10,user27,post14,comment,"This doesn't seem to be supported by evidence"
2023-03-02T10:40:25,user28,post14,like,
2023-03-02T12:55:40,user29,post15,share, 
